Success,Timestamp,Date,Base,CurrencyName,Currency
TRUE,1629676799,22-08-2021,EUR,AED,4.295569
TRUE,1629676799,22-08-2021,EUR,AFN,100.603517
TRUE,1629676799,22-08-2021,EUR,ALL,121.810042
TRUE,1629676799,22-08-2021,EUR,AMD,574.065944
TRUE,1629676799,22-08-2021,EUR,ANG,2.096357
TRUE,1629676799,22-08-2021,EUR,AOA,744.404939
TRUE,1629676799,22-08-2021,EUR,ARS,113.635029
TRUE,1629676799,22-08-2021,EUR,AUD,1.638475
TRUE,1629676799,22-08-2021,EUR,AWG,2.1057
TRUE,1629676799,22-08-2021,EUR,AZN,1.98889
TRUE,1629676799,22-08-2021,EUR,BAM,1.95551
TRUE,1629676799,22-08-2021,EUR,BBD,2.358014
TRUE,1629676799,22-08-2021,EUR,BDT,99.385616
TRUE,1629676799,22-08-2021,EUR,BGN,1.959132
TRUE,1629676799,22-08-2021,EUR,BHD,0.440328
TRUE,1629676799,22-08-2021,EUR,BIF,2317.070366
TRUE,1629676799,22-08-2021,EUR,BMD,1.169508
TRUE,1629676799,22-08-2021,EUR,BND,1.591539
TRUE,1629676799,22-08-2021,EUR,BOB,8.075777
TRUE,1629676799,22-08-2021,EUR,BRL,6.292536
TRUE,1629676799,22-08-2021,EUR,BSD,1.167909
TRUE,1629676799,22-08-2021,EUR,BTC,2.37E-05
TRUE,1629676799,22-08-2021,EUR,BTN,86.845671
TRUE,1629676799,22-08-2021,EUR,BWP,13.241331
TRUE,1629676799,22-08-2021,EUR,BYR,22922.36435
TRUE,1629676799,22-08-2021,EUR,BYN,2.937519
TRUE,1629676799,22-08-2021,EUR,BZD,2.354114
TRUE,1629676799,22-08-2021,EUR,CAD,1.500152
TRUE,1629676799,22-08-2021,EUR,CDF,2341.355829
TRUE,1629676799,22-08-2021,EUR,CHF,1.073024
TRUE,1629676799,22-08-2021,EUR,CLF,0.033341
TRUE,1629676799,22-08-2021,EUR,CLP,919.970652
TRUE,1629676799,22-08-2021,EUR,CNY,7.603558
TRUE,1629676799,22-08-2021,EUR,COP,4528.336467
TRUE,1629676799,22-08-2021,EUR,CRC,724.711262
TRUE,1629676799,22-08-2021,EUR,CUC,1.169508
TRUE,1629676799,22-08-2021,EUR,CUP,30.991972
TRUE,1629676799,22-08-2021,EUR,CVE,110.246937
TRUE,1629676799,22-08-2021,EUR,CZK,25.550598
TRUE,1629676799,22-08-2021,EUR,DJF,207.905936
TRUE,1629676799,22-08-2021,EUR,DKK,7.436495
TRUE,1629676799,22-08-2021,EUR,DOP,66.627084
TRUE,1629676799,22-08-2021,EUR,DZD,158.386078
TRUE,1629676799,22-08-2021,EUR,EGP,18.363971
TRUE,1629676799,22-08-2021,EUR,ERN,17.548255
TRUE,1629676799,22-08-2021,EUR,ETB,53.123096
TRUE,1629676799,22-08-2021,EUR,EUR,1
TRUE,1629676799,22-08-2021,EUR,FJD,2.480469
TRUE,1629676799,22-08-2021,EUR,FKP,0.84509
TRUE,1629676799,22-08-2021,EUR,GBP,0.858503
TRUE,1629676799,22-08-2021,EUR,GEL,3.63739
TRUE,1629676799,22-08-2021,EUR,GGP,0.84509
TRUE,1629676799,22-08-2021,EUR,GHS,7.053944
TRUE,1629676799,22-08-2021,EUR,GIP,0.84509
TRUE,1629676799,22-08-2021,EUR,GMD,59.76178
TRUE,1629676799,22-08-2021,EUR,GNF,11454.42328
TRUE,1629676799,22-08-2021,EUR,GTQ,9.045118
TRUE,1629676799,22-08-2021,EUR,GYD,244.339967
TRUE,1629676799,22-08-2021,EUR,HKD,9.111581
TRUE,1629676799,22-08-2021,EUR,HNL,27.736456
TRUE,1629676799,22-08-2021,EUR,HRK,7.497012
TRUE,1629676799,22-08-2021,EUR,HTG,115.035152
TRUE,1629676799,22-08-2021,EUR,HUF,350.244341
TRUE,1629676799,22-08-2021,EUR,IDR,16902.90469
TRUE,1629676799,22-08-2021,EUR,ILS,3.78771
TRUE,1629676799,22-08-2021,EUR,IMP,0.84509
TRUE,1629676799,22-08-2021,EUR,INR,86.89652
TRUE,1629676799,22-08-2021,EUR,IQD,1703.920826
TRUE,1629676799,22-08-2021,EUR,IRR,49341.55845
TRUE,1629676799,22-08-2021,EUR,ISK,149.603706
TRUE,1629676799,22-08-2021,EUR,JEP,0.84509
TRUE,1629676799,22-08-2021,EUR,JMD,179.729553
TRUE,1629676799,22-08-2021,EUR,JOD,0.829218
TRUE,1629676799,22-08-2021,EUR,JPY,128.471679
TRUE,1629676799,22-08-2021,EUR,KES,128.17891
TRUE,1629676799,22-08-2021,EUR,KGS,98.99163
TRUE,1629676799,22-08-2021,EUR,KHR,4767.81883
TRUE,1629676799,22-08-2021,EUR,KMF,492.187391
TRUE,1629676799,22-08-2021,EUR,KPW,1052.557744
TRUE,1629676799,22-08-2021,EUR,KRW,1374.453176
TRUE,1629676799,22-08-2021,EUR,KWD,0.352198
TRUE,1629676799,22-08-2021,EUR,KYD,0.973241
TRUE,1629676799,22-08-2021,EUR,KZT,499.728123
TRUE,1629676799,22-08-2021,EUR,LAK,11198.66519
TRUE,1629676799,22-08-2021,EUR,LBP,1766.010653
TRUE,1629676799,22-08-2021,EUR,LKR,232.989826
TRUE,1629676799,22-08-2021,EUR,LRD,200.805381
TRUE,1629676799,22-08-2021,EUR,LSL,17.905328
TRUE,1629676799,22-08-2021,EUR,LTL,3.453254
TRUE,1629676799,22-08-2021,EUR,LVL,0.707424
TRUE,1629676799,22-08-2021,EUR,LYD,5.302231
TRUE,1629676799,22-08-2021,EUR,MAD,10.513777
