"StudentName","MathMarks","PhyMarks","ChemMarks","BioMarks","EnglishMarks"
"Student 1",81,82,80,81,99
"Student 2",81,100,95,97,92
"Student 3",97,99,83,95,86
"Student 4",91,82,97,85,98
"Student 5",83,87,95,91,80
"Student 6",94,88,80,97,86
"Student 7",93,85,97,82,90
"Student 8",86,89,86,92,84
"Student 9",91,88,80,90,98
"Student 10",96,94,83,96,89
"Student 11",88,87,77,87,73
"Student 12",90,77,81,89,77
"Student 13",89,72,72,70,76
"Student 14",88,74,84,74,75
"Student 15",71,89,81,71,84
"Student 16",80,83,88,76,75
"Student 17",89,76,90,81,90
"Student 18",71,86,72,87,81
"Student 19",85,86,72,80,73
"Student 20",74,86,77,77,73
"Student 21",63,62,66,66,73
"Student 22",60,69,60,66,71
"Student 23",62,73,70,71,60
"Student 24",66,65,64,70,68
"Student 25",66,74,64,73,61
"Student 26",62,74,75,61,74
"Student 27",63,63,64,73,71
"Student 28",71,73,73,67,75
"Student 29",68,61,61,75,64
"Student 30",64,69,68,63,64
"Student 31",67,50,62,55,67
"Student 32",77,57,61,63,78
"Student 33",58,63,50,78,59
"Student 34",70,67,61,78,75
"Student 35",77,75,60,63,80
"Student 36",62,63,68,75,69
"Student 37",80,77,73,55,77
"Student 38",68,59,55,61,55
"Student 39",50,77,76,79,75
"Student 40",55,69,60,50,63
"Student 41",69,69,85,50,52
"Student 42",86,58,42,68,64
"Student 43",41,40,70,77,50
"Student 44",72,42,58,90,41
"Student 45",58,83,78,75,63
"Student 46",69,69,54,49,61
"Student 47",65,67,80,47,71
"Student 48",45,73,82,84,60
"Student 49",71,90,67,52,55
"Student 50",64,50,47,54,82
